mof_name,frac_H,frac_He,frac_Li,frac_Be,frac_B,frac_C,frac_N,frac_O,frac_F,frac_Ne,frac_Na,frac_Mg,frac_Al,frac_Si,frac_P,frac_S,frac_Cl,frac_Ar,frac_K,frac_Ca,frac_Sc,frac_Ti,frac_V,frac_Cr,frac_Mn,frac_Fe,frac_Co,frac_Ni,frac_Cu,frac_Zn,frac_Ga,frac_Ge,frac_As,frac_Se,frac_Br,frac_Kr,frac_Rb,frac_Sr,frac_Y,frac_Zr,frac_Nb,frac_Mo,frac_Tc,frac_Ru,frac_Rh,frac_Pd,frac_Ag,frac_Cd,frac_In,frac_Sn,frac_Sb,frac_Te,frac_I,frac_Xe,frac_Cs,frac_Ba,frac_La,frac_Ce,frac_Pr,frac_Nd,frac_Pm,frac_Sm,frac_Eu,frac_Gd,frac_Tb,frac_Dy,frac_Ho,frac_Er,frac_Tm,frac_Yb,frac_Lu,frac_Hf,frac_Ta,frac_W,frac_Re,frac_Os,frac_Ir,frac_Pt,frac_Au,frac_Hg,frac_Tl,frac_Pb,frac_Bi,frac_Po,frac_At,frac_Rn,frac_Fr,frac_Ra,frac_Ac,frac_Th,frac_Pa,frac_U,frac_Np,frac_Pu,frac_Am,frac_Cm,frac_Bk,frac_Cf,frac_Es,frac_Fm,frac_Md,frac_No,frac_Lr,mean_atomic_weight,mean_column,mean_row,range_atomic_number,mean_atomic_number,range_atomic_radius,mean_atomic_radius,range_electronegativity,mean_electronegativity,avg_s_valence,avg_p_valence,avg_d_valence,avg_f_valence,frac_s_valence,frac_p_valence,frac_d_valence,frac_f_valence,energy
ABEFUL_w_CO2,0.2651933701657458,0.0,0.0,0.0,0.0,0.4917127071823204,0.0441988950276243,0.143646408839779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0441988950276243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011049723756906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.26376861878453,10.850828729281767,1.8232044198895028,64,6.099447513812155,1.5,0.5889502762430939,2.34,2.591988950276244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3036845850000134
ABESUX_w_CO2,0.0,0.0,0.0,0.0,0.0,0.0097087378640776,0.0,0.6407766990291263,0.0,0.0,0.0,0.0,0.0,0.0,0.1553398058252427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1941747572815534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.399315456310674,13.300970873786408,3.1262135922330097,86,25.37864077669903,1.15,0.8864077669902907,2.06,2.837184466019417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5914658000000372
ABEXEM_w_CO2,0.1088435374149659,0.0,0.0,0.0,0.0,0.3877551020408163,0.1088435374149659,0.3401360544217687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0544217687074829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.29291088435373,12.775510204081632,2.108843537414966,56,9.020408163265309,1.7,0.6795918367346939,2.34,2.7890476190476194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46665692374998
ABEXIQ_w_CO2,0.1088435374149659,0.0,0.0,0.0,0.0,0.3877551020408163,0.1088435374149659,0.3401360544217687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0544217687074829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.358790068027208,12.775510204081632,2.108843537414966,57,9.07482993197279,1.6,0.6741496598639456,2.32,2.7901360544217693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.526259147500042
ABEXOW_w_CO2,0.1088435374149659,0.0,0.0,0.0,0.0,0.3877551020408163,0.1088435374149659,0.3401360544217687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0544217687074829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.40187306122448,12.775510204081632,2.108843537414966,58,9.129251700680271,1.6,0.6741496598639456,2.31,2.7906802721088435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3031877512497942
ABEYAJ_w_CO2,0.1088435374149659,0.0,0.0,0.0,0.0,0.3877551020408163,0.1088435374149659,0.3401360544217687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0544217687074829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.916286666666657,12.775510204081632,2.108843537414966,61,9.29251700680272,1.6,0.6741496598639456,2.27,2.792857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3962696950000292
ABEYIR_w_CO2,0.1088435374149659,0.0,0.0,0.0,0.0,0.3877551020408163,0.1088435374149659,0.3401360544217687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0544217687074829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.29125265306121,12.775510204081632,2.108843537414966,63,9.401360544217686,1.55,0.6714285714285716,2.24,2.794489795918368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3939730137500703
ABIXOZ_w_CO2,0.0,0.0,0.0,0.0,0.0,0.0128205128205128,0.0,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.1025641025641025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.433948474358985,14.064102564102564,2.641025641025641,36,14.653846153846152,0.85,0.8019230769230768,1.56,3.0434615384615387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.443304410000087
ABULOB_w_CO2,0.1684210526315789,0.0,0.0,0.1263157894736842,0.0,0.0105263157894736,0.0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.1684210526315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.071938063157893,11.51578947368421,2.0,14,7.473684210526316,0.8,0.6663157894736841,1.87,2.7750526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1443429371427912
ABUWOJ_w_CO2,0.2466960352422907,0.0,0.0,0.0,0.0,0.4273127753303964,0.0,0.2555066079295154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704845814977973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.079258766519818,11.162995594713657,1.894273127753304,29,6.969162995594714,1.1,0.6092511013215857,1.79,2.6276211453744494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3477569483333885
